what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"4",1494441828126
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1494441828126
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1494441828126
java.specification.name,sysinfo,,,"Java Platform API Specification",1494441828126
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1494441828126
java.specification.version,sysinfo,,,"1.6",1494441828126
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1494441828126
java.version,sysinfo,,,"1.6.0_23",1494441828126
java.vm.info,sysinfo,,,"mixed mode",1494441828126
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1494441828126
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1494441828126
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1494441828126
java.vm.specification.version,sysinfo,,,"1.0",1494441828126
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1494441828126
java.vm.version,sysinfo,,,"19.0-b09",1494441828126
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1494441828286
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1494441828491
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1494441828512
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1494441828513
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1494441828540
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1494441831414
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1494441831672
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1494441831715
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1494441831720
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1494441831721
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1494441831725
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-1]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1494441833625
