what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494349477239
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494349478997
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1494349479268
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1494349481364
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1494349481583
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1494349484042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494349486617
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1494349486664
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494349492334
started,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1494349492615
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1494349492687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494349492828
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494349494226
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494349494241
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494349495722
error,log,,,"Exception in org.eclipse.ui.internal.PageLayout.stackView: org.eclipse.ui.PartInitException: Could not create view: org.eclipse.cdt.debug.ui.DisassemblyView",1494349495769
error,log,,,"Exception in org.eclipse.ui.internal.PageLayout.stackView: org.eclipse.ui.PartInitException: Could not create view: org.eclipse.cdt.debug.ui.DisassemblyView",1494349495769
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1494349495972
activated,perspective,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui.debugPerspective",1494349496019
