what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340053790
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494340055848
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1494340060792
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1494340064000
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494340066422
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1494340069198
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1494340070517
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1494340070733
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1494340071034
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1494340071519
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1494340071666
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1494340071820
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1494340071889
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1494340072036
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1494340072436
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1494340072589
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1494340072791
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1494340073539
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1494340073856
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1494340074156
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494340075828
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340077279
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340078935
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494340081341
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1494340084248
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494340084411
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494340087487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340089338
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340090863
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494340092763
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1494340097210
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494340099083
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340101352
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340107002
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1494340107009
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494340107170
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1494340107586
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494340107771
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494340110879
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340113801
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340115937
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494340118027
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340126431
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340133286
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340134753
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340175446
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1494340176511
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1494340176827
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494340177845
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340180173
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340181808
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340183491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340220734
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1494340220740
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494340220937
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1494340222825
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1494340224366
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1494340224683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340225660
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340230461
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1494340231978
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1494340232310
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1494340234431
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1494340234716
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494340238574
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340240461
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340242088
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494340244171
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1494340246376
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494340246831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340248635
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340250406
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494340252074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340254937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340351734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340353941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340355734
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1494340356402
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1494340356650
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1494340362029
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494340362678
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340364002
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340365753
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494340369131
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340371495
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340388590
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340391444
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340394526
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1494340396454
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1494340396670
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1494340399276
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1494340400510
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340403570
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340411558
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494340419253
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494340419305
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340422170
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340464667
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494340482704
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494340486412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340488332
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340491670
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1494340493327
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494340496333
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1494340497751
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1494340501041
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494340505142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340506816
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340512706
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1494340512722
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1494340513540
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494340515580
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340520866
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494340546823
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1494340552009
