what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494335565525
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1494335583412
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1494335590262
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1494335592773
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1494335597537
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1494335599882
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1494335600086
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1494335601187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494335606703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494335609895
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1494335610939
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1494335611376
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1494335612466
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494335614868
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494335617079
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1494335617929
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1494335618230
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494335622946
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494335624456
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494335627416
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1494335631110
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1494335634881
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1494335635144
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1494335639281
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494335645060
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494335647589
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494335649721
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1494335652982
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1494335656376
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1494335657291
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1494335657527
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1494335661532
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494335663888
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494335666562
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494335666578
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494335667475
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494335669593
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494335671065
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1494335671451
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1494335674840
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1494335675090
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-1]', --device=1, --instance=0, --go, /cygdrive/c/dev/polden-vert/polden-vert-motorControl-cyc4/software/hw3/hw3.elf] return code: 134",1494335684436
error,log,,,"Downloading ELF Process failed",1494335684436
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494335684468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494335687629
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494335689486
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494335692378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494335694159
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1494335694444
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1494335696507
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1494335696757
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1494335700785
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494335707283
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494335716506
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494335719095
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494335721452
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494335725548
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494335728489
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494335729651
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494335735395
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494335736756
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494335737274
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494335739125
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494335746154
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494335814417
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494335818173
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494335826419
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1494335831161
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1494335833262
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494335834716
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494335839820
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494335841838
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1494335844266
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494335844879
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494335917436
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1494335918646
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1494335919620
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494335921588
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494335930543
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494335930574
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1494335934216
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1494335934462
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1494335938523
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494335939754
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494335942279
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494335942295
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494335948586
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1494335952045
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494335953906
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336084911
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494336084921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336086458
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336100337
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1494336107030
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1494336107280
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336109870
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1494336111403
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336466017
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494336466059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336467771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336470372
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1494336473230
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1494336474249
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1494336475468
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1494336475578
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1494336478517
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1494336484326
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1494336484436
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1494336484704
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336487976
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1494336488778
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336496428
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336499440
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336501701
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494336501748
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1494336523011
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336528333
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336532756
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1494336533923
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494336539849
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336543243
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336545343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336549826
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336567173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336567510
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336568853
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336571566
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336572950
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336573514
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336575279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336576830
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336582050
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336582302
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336637843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336644065
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336646183
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336650893
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336679778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336681090
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336740514
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494336741967
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336749069
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336751664
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336755715
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336771051
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336773601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336822382
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336825314
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336827502
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336829151
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336831057
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336832205
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336894850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494336897056
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337047515
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337053490
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337056111
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337059028
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337069289
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1494337081083
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337087602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337092018
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494337093525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337095339
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1494337120207
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337163583
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1494337163646
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494337167270
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337169937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337171641
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337171844
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337173026
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494337173057
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337181457
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337182644
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494337183993
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337185493
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337196473
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1494337197982
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337200662
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337204069
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494337204069
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1494337205391
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494337209020
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494337219560
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337221444
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337223081
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494337226950
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1494337230653
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494337231935
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337233372
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337235026
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494337235182
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494337243975
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337245267
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337246908
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494337258068
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337264834
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337265476
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337265796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337321842
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494337322873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337326845
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337329266
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337332329
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337341674
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494337343658
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1494337348944
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1494337350302
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494337351005
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337353108
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337355819
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337356225
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337358491
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337364943
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337400236
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337406172
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337407789
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1494337407805
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1494337407805
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337409562
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337425901
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337434040
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337437380
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1494337437395
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337442497
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337466160
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337472340
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337498274
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494337499493
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1494337501424
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1494337501768
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1494337501971
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1494337502705
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1494337503087
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1494337503243
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337508681
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337509681
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337511838
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337514282
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1494337530100
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494337531428
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337532966
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337534541
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337538166
