what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337613708
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494337614990
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494337615036
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337616624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337618234
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1494337619631
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494337619818
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1494337624415
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1494337624775
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1494337625040
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494337625776
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337627651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337629244
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1494337630425
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494337631291
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337638609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337644015
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494337649021
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337651908
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337653900
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1494337653916
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337657341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337659748
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337669582
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337683509
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337685836
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337697402
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1494337698581
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494337699056
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1494337699556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337703058
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337720384
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494337720407
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337723351
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337741600
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494337741614
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337743345
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337745646
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1494337745662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337749154
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337751545
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494337754957
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337758636
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337786408
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494337786426
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337787757
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337801401
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1494337801423
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337801755
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337811022
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494337811838
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337813836
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337828754
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1494337834853
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1494337839702
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337840381
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337844803
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494337844826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337847207
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337847547
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337850448
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337852019
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337852037
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337855384
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337856582
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337858305
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1494337860182
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494337860374
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494337864469
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337865944
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494337869714
