what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1494449341945
locale,sysinfo,,,"ru_RU",1494449341945
processors,sysinfo,,,"4",1494449341945
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1494449341946
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1494449341946
java.specification.name,sysinfo,,,"Java Platform API Specification",1494449341946
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1494449341946
java.specification.version,sysinfo,,,"1.6",1494449341946
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1494449341946
java.version,sysinfo,,,"1.6.0_23",1494449341946
java.vm.info,sysinfo,,,"mixed mode",1494449341946
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1494449341946
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1494449341946
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1494449341946
java.vm.specification.version,sysinfo,,,"1.0",1494449341946
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1494449341946
java.vm.version,sysinfo,,,"19.0-b09",1494449341946
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494449344696
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494449344696
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1494449344887
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1494449346403
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494449346439
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494449348156
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1494449353017
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1494449353057
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1494449353060
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1494449353080
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1494449355459
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1494449355993
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1494449355999
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1494449355999
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1494449356000
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1494449356008
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-1]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1494449357942
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-1]', --device=1, --instance=0, --go, --accept-bad-sysid, /cygdrive/c/dev/polden-vert/polden-vert-motorControl-cyc4/software/hw5/hw5.elf] return code: 4, 'other error'",1494449361042
error,log,,,"Downloading ELF Process failed",1494449361046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494449361081
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494449365235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494449368575
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494449370973
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494449373188
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1494449374418
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494449375910
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494449376203
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494449380090
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1494449391369
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1494449391636
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-1]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1494449393438
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-1]', --device=1, --instance=0, --go, --accept-bad-sysid, /cygdrive/c/dev/polden-vert/polden-vert-motorControl-cyc4/software/hw5/hw5.elf] return code: 4, 'other error'",1494449396550
error,log,,,"Downloading ELF Process failed",1494449396551
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494449396566
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494449398893
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494449400198
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494449404609
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494449404640
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1494449407884
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1494449408095
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-1]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1494449409932
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1494449412193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494449413977
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494449530026
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1494449530046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494449537296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494449558594
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494449565896
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494449581555
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1494449586480
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494449590040
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494449635699
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1494449640391
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1494449643252
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1494449643491
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1494449643824
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1494449646993
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1494449647565
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1494449647700
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1494449647813
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1494449648036
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1494449648484
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1494449648628
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1494449648772
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1494449648932
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1494449649108
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1494449651068
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1494449651772
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1494449653154
